"country","code","year","Pct_poverty","gdp"
"Angola","AGO",2000,0.214088477654,1840.35382835349
"Angola","AGO",2008,0.146324872869,3061.63627198895
"Angola","AGO",2018,0.311220062314,2677.24983283563
"Albania","ALB",1996,0.005348460357,1633.55200434173
"Albania","ALB",2002,0.010926473904,2247.49808605638
"Albania","ALB",2005,0.005910856841,2675.50864417697
"Albania","ALB",2008,0.001999251462,3298.4789171641
"Albania","ALB",2012,0.006206908872,3736.34008946398
"Albania","ALB",2014,0.01023100774,3855.76075430011
"Albania","ALB",2015,0.001206210595,3952.80358410846
"Albania","ALB",2016,0.001393031662,4090.37273911621
"Albania","ALB",2016,0.057951017798,4090.37273911621
"Albania","ALB",2017,0.003925699344,4249.82006064482
"Albania","ALB",2017,0.052648060214,4249.82006064482
"Albania","ALB",2018,0.000481070476,4431.55560679714
"Albania","ALB",2018,0.038929823491,4431.55560679714
"Albania","ALB",2019,0,4543.38772250631
"Albania","ALB",2020,0.000212773636,4418.66088547605
"United Arab Emirates","ARE",2013,0,38034.9683997314
"United Arab Emirates","ARE",2018,0,43644.1470474986
"Argentina","ARG",1980,0.003090124512,10270.9561180014
"Argentina","ARG",1986,0.011191321131,9397.88360849477
"Argentina","ARG",1987,0.011860859178,9507.33981264281
"Argentina","ARG",1991,0.009720286287,8762.66138351332
"Argentina","ARG",1992,0.016737125255,9327.8594509636
"Argentina","ARG",1993,0.019766661717,9957.25652230492
"Argentina","ARG",1994,0.019113265993,10397.3792874496
"Argentina","ARG",1995,0.038554343889,9969.33157579723
"Argentina","ARG",1996,0.042175671839,10388.5387104408
"Argentina","ARG",1997,0.037657508073,11097.3820634618
"Argentina","ARG",1998,0.039691887942,11391.9451576314
"Argentina","ARG",1999,0.04187958437,10880.2062074837
"Argentina","ARG",2000,0.049882613603,10672.7220353121
"Argentina","ARG",2001,0.082347868249,10090.6534434286
"Argentina","ARG",2002,0.124471545388,8895.31964210751
"Argentina","ARG",2003,0.052792626175,9581.96979219468
"Argentina","ARG",2004,0.038130063031,10341.6434058805
"Argentina","ARG",2005,0.026311788198,11141.3106718375
"Argentina","ARG",2006,0.021182560078,11913.9585322637
"Argentina","ARG",2007,0.017236683276,12857.0925770961
"Argentina","ARG",2008,0.015866702055,13246.6348917152
"Argentina","ARG",2009,0.015240720327,12336.8619385237
"Argentina","ARG",2010,0.007493294108,13551.3391940229
"Argentina","ARG",2011,0.007074195098,14200.2698890608
"Argentina","ARG",2012,0.006407886015,13895.6337072986
"Argentina","ARG",2013,0.006225353261,14071.5086831557
"Argentina","ARG",2014,0.006124674576,13567.9484159809
"Argentina","ARG",2016,0.006675493553,13360.2118345982
"Argentina","ARG",2017,0.004240273952,13595.0373551081
"Argentina","ARG",2018,0.007674704879,13105.397163317
"Argentina","ARG",2019,0.007840069659,12716.2242038544
"Argentina","ARG",2020,0.010747269106,11341.2683655863
"Argentina","ARG",2021,0.009588466405,12402.4907912317
"Armenia","ARM",1996,0.138988232422,989.64234410298
"Armenia","ARM",1999,0.11899413795,1166.18796268474
"Armenia","ARM",2001,0.139747493762,1385.04479530641
"Armenia","ARM",2002,0.099666040493,1582.05762307417
"Armenia","ARM",2003,0.075395174709,1815.78822609055
"Armenia","ARM",2004,0.053178055283,2018.46014266053
"Armenia","ARM",2005,0.02629570387,2312.98286338693
"Armenia","ARM",2006,0.019985935161,2636.25665053529
"Armenia","ARM",2007,0.015362026096,3019.46556331841
"Armenia","ARM",2008,0.008796942479,3250.49861389456
"Armenia","ARM",2009,0.012476557322,2810.19284300486
"Armenia","ARM",2010,0.009514653458,2889.56623073412
"Armenia","ARM",2011,0.011850709377,3043.26278883538
"Armenia","ARM",2012,0.008322223493,3278.67045101985
"Armenia","ARM",2013,0.017382651756,3402.08385754089
"Armenia","ARM",2014,0.014391430834,3538.52939541716
"Armenia","ARM",2015,0.011463600683,3666.14182536082
"Armenia","ARM",2016,0.011079465678,3689.83008540677
"Armenia","ARM",2017,0.007856545904,3985.91670188717
"Armenia","ARM",2018,0.013398209264,4215.89939814463
"Armenia","ARM",2019,0.010300697785,4561.96780299386
"Armenia","ARM",2020,0.003520104979,4256.13123162961
"Armenia","ARM",2021,0.005235208329,4522.31904517941
"Australia","AUS",1981,0.00993503048,31561.7171710593
"Australia","AUS",1985,0.010013097558,33338.5306672419
"Australia","AUS",1989,0.00744274979,36592.5449962431
"Australia","AUS",1995,0.007497822673,39908.0950778963
"Australia","AUS",2001,0.007474116155,46883.2917282955
"Australia","AUS",2003,0.009973307113,49206.0431058406
"Australia","AUS",2004,0.00712537196,50435.103278054
"Australia","AUS",2008,0.003612324396,53326.9501244221
"Australia","AUS",2010,0.003491684119,53868.843076996
"Australia","AUS",2014,0.004984838032,56513.7985878418
"Australia","AUS",2016,0.004987417526,57528.0368332884
"Australia","AUS",2018,0.004970939722,58673.9920904517
"Austria","AUT",1994,0.002309148347,32962.8174189767
"Austria","AUT",1995,0,33790.4849857504
"Austria","AUT",1996,0,34537.7395746518
"Austria","AUT",1997,0.002459834857,35220.8877426259
"Austria","AUT",1998,0.002394451395,36442.2882333384
"Austria","AUT",1999,0.002260050581,37664.9432792116
"Austria","AUT",2000,0,38842.8905195831
"Austria","AUT",2003,0.003322032579,39815.2219533064
"Austria","AUT",2004,0.000816528878,40651.2266155811
"Austria","AUT",2005,0.00153690105,41281.2707559522
"Austria","AUT",2006,0.000901100073,42496.3510516831
"Austria","AUT",2007,0.003722917291,43937.7128905744
"Austria","AUT",2008,0.004711670196,44440.055889928
"Austria","AUT",2009,0.006562347203,42655.1921304813
"Austria","AUT",2010,0.004907025323,43334.5089644691
"Austria","AUT",2011,0.004154042297,44451.0001918473
"Austria","AUT",2012,0.006169173685,44549.881698231
"Austria","AUT",2013,0.003379978552,44299.3781845446
"Austria","AUT",2014,0.002242602162,44245.1687398338
"Austria","AUT",2015,0.006771930205,44195.8175947748
"Austria","AUT",2016,0.006640635485,44590.2516278164
"Austria","AUT",2017,0.003180896205,45281.723399938
"Austria","AUT",2018,0.005683583696,46154.6250956541
"Austria","AUT",2019,0.00640638887,46647.0809634335
"Austria","AUT",2020,0.006835775451,43455.7000665738
"Azerbaijan","AZE",1995,0.124205923224,1102.49808532554
"Azerbaijan","AZE",2001,0.061576586832,1614.84914412315
"Azerbaijan","AZE",2002,0.000795014714,1754.13555198582
"Azerbaijan","AZE",2003,0.000505809657,1918.61137675397
"Azerbaijan","AZE",2004,0,2077.88563846517
"Azerbaijan","AZE",2005,0,2631.85191889281
"Burundi","BDI",1992,0.750594186974,440.5918566545
"Burundi","BDI",1998,0.794411555483,330.128930617295
"Burundi","BDI",2006,0.718443183588,299.769120757144
"Burundi","BDI",2013,0.651328928523,305.290835173922
"Belgium","BEL",1985,0.002401877811,25569.4893301131
"Belgium","BEL",1988,0.004778089142,27772.0520454683
"Belgium","BEL",1992,0.009832838279,30204.5637515713
"Belgium","BEL",1995,0.004124100702,31329.892072751
"Belgium","BEL",1997,0.00492479403,32804.3605402361
"Belgium","BEL",2000,0.003055060094,35674.7912530713
"Belgium","BEL",2003,0.00294419303,36617.3803840227
"Belgium","BEL",2004,0.000520219589,37761.2813189981
"Belgium","BEL",2005,0.001930702323,38426.0519083731
"Belgium","BEL",2006,0.00168941521,39147.7635597291
"Belgium","BEL",2007,0.00151451473,40290.2277563956
"Belgium","BEL",2008,0.001184166603,40151.8498740394
"Belgium","BEL",2009,0.00107580909,39025.2207908291
"Belgium","BEL",2010,0.001371152835,39777.9252767366
"Belgium","BEL",2011,0.001682681789,39929.0951439359
