Entity,Code,Year,NoPeopleBPovertyLine
Albania,ALB,1996,16944
Albania,ALB,2002,33337
Albania,ALB,2005,17800
Albania,ALB,2008,5892
Albania,ALB,2012,18003
Albania,ALB,2014,29558
Albania,ALB,2015,3475
Albania,ALB,2016,4006
Albania,ALB,2017,11280
Albania,ALB,2018,1379
Albania,ALB,2019,0
Algeria,DZA,1988,1569347
Algeria,DZA,1995,1659487
Algeria,DZA,2011,166981
Angola,AGO,2000,3510083
Angola,AGO,2008,3174611
Angola,AGO,2018,9588624
Argentina - urban,,1980,71452
Argentina - urban,,1986,293557
Argentina - urban,,1987,317511
Argentina - urban,,1991,280792
Argentina - urban,,1992,491272
Argentina - urban,,1993,589233
Argentina - urban,,1994,578379
Argentina - urban,,1995,1183846
Argentina - urban,,1996,1313596
Argentina - urban,,1997,1189211
Argentina - urban,,1998,1270520
Argentina - urban,,1999,1358503
Argentina - urban,,2000,1639510
Argentina - urban,,2001,2742016
Argentina - urban,,2002,4198292
Argentina - urban,,2003,1803369
Argentina - urban,,2004,1318876
Argentina - urban,,2005,921325
Argentina - urban,,2006,750699
Argentina - urban,,2007,618127
Argentina - urban,,2008,575716
Argentina - urban,,2009,559552
Argentina - urban,,2010,277671
Argentina - urban,,2011,265592
Argentina - urban,,2012,243678
Argentina - urban,,2013,239737
Argentina - urban,,2014,238802
Argentina - urban,,2016,266623
Argentina - urban,,2017,171352
Argentina - urban,,2018,313720
Argentina - urban,,2019,324105
Argentina - urban,,2020,449203
Armenia,ARM,1996,440344
Armenia,ARM,1999,367575
Armenia,ARM,2001,426326
Armenia,ARM,2002,302384
Armenia,ARM,2003,227538
Armenia,ARM,2004,159572
Armenia,ARM,2005,78394
Armenia,ARM,2006,59124
Armenia,ARM,2007,45051
Armenia,ARM,2008,25578
Armenia,ARM,2009,36033
Armenia,ARM,2010,27377
Armenia,ARM,2011,34089
Armenia,ARM,2012,24003
Armenia,ARM,2013,50368
Armenia,ARM,2014,41914
Armenia,ARM,2015,33537
Armenia,ARM,2016,32531
Armenia,ARM,2017,23136
Armenia,ARM,2018,39548
Armenia,ARM,2019,30467
Armenia,ARM,2020,11501
Australia,AUS,1981,148300
Australia,AUS,1985,157786
